site,participants,lat,lon,type
The Salvation Army 60th Street- 1256,20,43.124476,-87.984582,Food Pantry
U.M.O.S. INC. -1070,20,42.992102,-87.915039,Food Pantry
United Methodist Children's Services,20,43.05581,-87.963247,Food Pantry
UNITY M.B. CHURCH - A1198,20,43.078212,-87.961731,Food Pantry
VETERANS SERVICES - A1263,20,43.017081,-87.981799,Food Pantry
VETS PLACE CENTRAL - 3289,20,43.040615,-87.95604,Food Pantry
WEST CARE WISCONSIN - A1381,20,43.063584,-87.915182,Food Pantry
ALBA School,20,43.01158,-87.953421,grab and Go Kids Meal
Barbee Montessori,20,43.098298,-87.942687,grab and Go Kids Meal
Bay View High School,20,42.99473,-87.899093,grab and Go Kids Meal
Browning Elementary,20,43.11735,-87.990347,grab and Go Kids Meal
Catholic East Lower Campus,20,43.058435,-87.889776,grab and Go Kids Meal
Catholic East Upper Campus,20,43.06293,-87.885826,grab and Go Kids Meal
Christ St. Peter East,20,43.018884,-87.920874,grab and Go Kids Meal
Christ St. Peter West,20,42.960386,-88.001015,grab and Go Kids Meal
Cyber School,20,43.095467,-87.969132,grab and Go Kids Meal
Daniels-Mardak Club,20,43.038658,-87.957703,grab and Go Kids Meal
Don & Sallie Davis Club,20,43.01852,-87.943612,grab and Go Kids Meal
Douglas Middle School,20,43.083279,-87.932757,grab and Go Kids Meal
El Puente HS,20,43.019307,-87.957978,grab and Go Kids Meal
Engleburg School,20,43.110762,-88.025135,grab and Go Kids Meal
Hamilton High School,20,42.978288,-87.990388,grab and Go Kids Meal
LaVarnway Club,20,43.068644,-87.932027,grab and Go Kids Meal
MacDowell Montessori,20,43.033161,-87.992849,grab and Go Kids Meal
Marshall High School,20,43.09366,-87.993254,grab and Go Kids Meal
Moody Park Pavallion,20,43.063146,-87.948334,grab and Go Kids Meal
Morse Middle School,20,43.139589,-88.009271,Grab and Go Kids Meal
North Division High School,20,43.066686,-87.925088,grab and Go Kids Meal
Northwest Catholic,20,43.147328,-87.96256,Grab and Go Kids Meal
Obama School,20,43.1089,-87.968494,grab and Go Kids Meal
Our Lady Queen of Peace,20,42.986248,-87.949583,grab and Go Kids Meal
Prince of Peace,20,43.01983,-87.944625,grab and Go Kids Meal
Prince of Peace,20,43.013165,-87.940217,grab and Go Kids Meal
Pulaski,20,42.989755,-87.945173,grab and Go Kids Meal
Reagan High School,20,42.953647,-87.940675,grab and Go Kids Meal
Risen Savior Church,20,43.178322,-88.02938,Grab and Go Kids Meal
Rocketship Southside,20,42.99549,-87.95198,grab and Go Kids Meal
Rocketship Transformation Prep,20,43.117725,-87.996636,grab and Go Kids Meal
Shining Star St. James,20,43.056551,-87.987018,grab and Go Kids Meal
South Division High School,20,43.013445,-87.930058,grab and Go Kids Meal
St. Catherine,20,43.067098,-87.977998,grab and Go Kids Meal
St. Charles Borromeo,20,42.942834,-87.955335,grab and Go Kids Meal
St. Joseph Academy Club,20,42.989038,-87.934409,grab and Go Kids Meal
St. Rafael the Archangel North Campus,20,43.006895,-87.955035,grab and Go Kids Meal
St. Rafael the Archangel South Campus,20,43.003573,-87.953482,grab and Go Kids Meal
St. Roman,20,42.966545,-87.914577,grab and Go Kids Meal
St. Thomas Aquinas Academy,20,42.971769,-87.905572,grab and Go Kids Meal
Thoreau School,20,43.161586,-87.983617,Grab and Go Kids Meal
Vincent High School,20,43.15535,-88.031803,Grab and Go Kids Meal
Washington High School,20,43.066073,-87.968201,grab and Go Kids Meal
Wisc. Conservatory of Music,20,43.043743,-87.92865,grab and Go Kids Meal
CROSS LUTH. ADULT COMM. CTR. - 2567,20,43.054325,-87.933094,Meal Program
NEU- LIFE COMMUNITY DEVELOPMENT - 2941,20,43.060769,-87.938334,Meal Program
SENIOR NUTR. PROGRAM / GREATER GALILEE - B0020,20,43.062488,-87.928186,Meal Program
SHARON S.D.A - 2385,20,43.062137,-87.929267,Meal Program
ALL BIBLE BAPTIST CHURCH - 2923,20,42.988609,-87.928439,Meal Program
ALL PEOPLE'S COMMUNITY & CHURCH MEALS - 2439,20,43.065914,-87.912072,Meal Program
BENEDICT CENTER - 02192,20,43.063146,-87.948334,Meal Program
BETHESDA C.O.G.I.C. - 2033,20,43.045005,-87.94948,Meal Program
BREAD AND JAM MEAL PROGRAM - 2768,20,42.994806,-87.8939,Meal Program
CASA ROMERO RENEWAL CENTER - 2733,20,43.025044,-87.916247,Meal Program
CENTRAL CITY CHURCHES MEAL PROGRAM,20,43.039526,-87.952414,Meal Program
CITY ON A HILL HEALTH - MEAL 2879,20,43.042434,-87.940477,Meal Program
COMMUNITY MEAL PROGRAM - A1296,20,43.071631,-87.937742,Meal Program
EBENEZER CHURCH OF GOD IN CHRIST -02987,20,43.063146,-87.948334,Meal Program
EBENEZER STONE MINISTRIES - MEAL PROGRAM - 02949,20,43.019307,-87.957978,Meal Program
FAITH TEMPLE CHURCH OF CHRIST - 2333,20,43.068128,-87.944543,Meal Program
GARDEN HOMES LUTHERAN MEAL - 2933,20,43.095702,-87.943851,Meal Program
GOSPEL LUTHERAN CHURCH - B0001,20,43.089069,-87.930201,Meal Program
GRAND AVENUE CLUB - 2331,20,43.037556,-87.908621,Meal Program
INDIAN COUNCIL OF THE ELDERLY- 2042,20,43.042152,-87.95407,Meal Program
JEWISH REACH INC. - 2587,20,43.074937,-87.872538,Meal Program
JUST ONE MORE MINISTRY - B0007,20,43.038198,-87.937021,Meal Program
KING SOLOMON M.B. CHURCH - 2370,20,43.061943,-87.916024,Meal Program
MILWAUKEE RESCUE MISSION - 3255,20,43.040922,-87.935928,Meal Program
MORRIS MEMORIAL COGIC - 2043,20,43.086686,-88.032785,Meal Program
MULTICULTURAL FULL OUTREACH MINISTRIES-2715,20,43.045561,-87.929927,Meal Program
MULTICULTURAL FULL OUTREACH MINISTRIES-2715,20,43.045561,-87.929927,Meal Program
NEU- LIFE COMMUNITY DEVELOPMENT - 2941,20,43.060769,-87.938334,Meal Program
NEW BEGINNINGS ARE POSSIBLE - 2722,20,43.077291,-87.960465,Meal Program
NEW CREATION MISSIONARY PRAISE CHURCH - 2951,20,43.067935,-87.930089,Meal Program
NEW CREATION MISSIONARY PRAISE CHURCH - 2951,20,43.067935,-87.930089,Meal Program
OPEN DOOR CAFE/ST. JOHN'S CATHEDRAL - 2755,20,43.041933,-87.903636,Meal Program
PENTECOSTAL DELIVERANCE SPIRITUAL - 2739,20,43.077957,-87.918949,Meal Program
PENTECOSTAL DELIVERANCE SPIRITUAL - 2739,20,43.077957,-87.918949,Meal Program
PROJECT FOCAL POINT - 2158,20,43.074673,-87.921812,Meal Program
SALVATION ARMY CORPS - 2810 (Citadel),20,43.111456,-87.964158,Meal Program
SCOTT CHRISTIAN YOUTH CENTER - 2051,20,43.068581,-87.929936,Meal Program
SCOTT CHRISTIAN YOUTH CENTER - 2051,20,43.068581,-87.929936,Meal Program
SOS CENTER - 2177,20,43.060896,-87.972059,Meal Program
SOULS HARBOR BAPTIST CHURCH - 2199,20,42.975358,-87.90897,Meal Program
ST. GABRIELS CHURCH OF GOD IN CHRIST-02954,20,43.115311,-87.959146,Meal Program
ST. JOHN CONCORDIA C.M.E - MEAL - B0006,20,43.063146,-87.948334,Meal Program
ST. JOHN'S NEIGHBORHOOD BREAKFAST - 02976,20,43.017081,-87.981799,Meal Program
THE SALVATION ARMY - ARC- 3188,20,43.034765,-87.903255,Meal Program
Unity Lutheran Church- Active Adult Center - 2110,20,42.987989,-87.896223,Meal Program
UNITY LUTHERAN CHURCH-UNITY COMMUNITY SOUP KITCHEN- 2827,20,42.987989,-87.896223,Meal Program
UNITY M.B. CHURCH - 2921,20,43.078212,-87.961731,Meal Program
URBAN UNDERGROUND - 02984,20,43.088396,-87.973797,Meal Program
Beulah Brinton Senior Center,20,42.999367,-87.895064,Stockbox
Church of Good Hope,20,43.150204,-88.020936,Stockbox
Clinton Rose Senior Center,20,43.063146,-87.948334,Stockbox
Elk's Lodge Senior Center,20,43.063146,-87.948334,Stockbox
McGovern Park Senior Center,20,43.063146,-87.948334,Stockbox
Milwaukee Christian Center,20,43.063146,-87.948334,Stockbox
Oasis Senior Center,20,43.0133,-87.942826,Stockbox
Washington Park Senior Center,20,43.049542,-87.969866,Stockbox
Wilson Park Senior Center,20,42.971176,-87.943169,Stockbox
Milwaukee Rescue Mission,20,43.068068,-87.932201,Mobile
Westlawn Gardens,20,43.118922,-87.98754,Mobile
Washington Park Senior Center,20,43.049542,-87.969866,Mobile
Garden Terrace,20,43.170214,-88.046385,Mobile
Mitchell Court,20,43.022692,-87.946801,Mobile
Clinton Rose Senior Center ,20,43.063146,-87.948334,Mobile
University of Wisconsin-Milwaukee,20,43.07468,-87.890958,Mobile
Ridgewood/Westridge Apartments,20,43.188294,-88.007413,Mobile
College Court,20,43.044959,-87.956394,Mobile
Johnston Center Resideneces,20,43.005227,-87.927985,Mobile
Highland Gardens,20,43.046356,-87.935953,Mobile
Robles Self Service Center,20,43.011701,-88.050194,Mobile
Walnut Park Apartments,20,43.05102,-87.923602,Mobile
Hillside Apartments,20,43.050575,-87.921401,Mobile
Evergreen Square ,20,42.987074,-88.011255,Mobile
Lapham Park,20,43.055209,-87.919023,Mobile
St. Peter's Apartments,20,43.136965,-88.008617,Mobile
Layton Gardens,20,42.960003,-87.941897,Mobile
Milwaukee Area Technical College,20,43.044836,-87.920858,Mobile
United Community Center,20,43.020558,-87.92195,Mobile
Hopkins-Lloyd Community School ,20,43.063146,-87.948334,Mobile
Cherry Court ,20,43.050507,-87.94335,Mobile
McGovern Park Senior Center ,20,43.116801,-87.968422,Mobile
Greentree-Teutonia Apartments ,20,43.141988,-87.957767,Mobile
Lapham Park,20,43.055209,-87.919023,Mobile
